School Name,LA Name,LA,Estab,URN,Region,Type of School,Phase,Pre-16 School Budget Share,Pupil Premium,Education Services Grant,Other,Other DfE grants (Revenue),SEN,Other income (LA & other Government grants),Government source (non-grant),Academies,Non- Government,Total Grant Funding  £000,Total Income  £000
Asfordby Hill Primary School,Leicestershire,855,2004,139340,East Midlands,Academy Converter,State-funded primary,558,47,18,54,0,0,0,0,0,0,677,686
Frisby Church of England Primary School,Leicestershire,855,3035,139744,East Midlands,Academy Converter,State-funded primary,411,3,14,57,0,0,0,0,0,0,485,494
Hall Orchard Barrow CE Primary School,Leicestershire,855,3008,140230,East Midlands,Academy Converter,State-funded primary,"1,495",78,0,36,0,0,0,0,0,0,1609,1852
Old Dalby Church of England Primary School,Leicestershire,855,3067,140095,East Midlands,Academy Converter,State-funded primary,423,30,14,40,0,9,0,0,0,0,516,545
Pastures Primary School The - Narborough,Leicestershire,855,2380,139620,East Midlands,Academy Converter,State-funded primary,943,41,41,18,0,23,76,0,0,0,1142,1308
Great Dalby School,Leicestershire,855,2018,139342,East Midlands,Academy Converter,State-funded primary,322,12,17,200,0,10,0,0,0,0,561,587
Stanton Under Bardon Community Primary School,Leicestershire,855,2070,140251,East Midlands,Academy Converter,State-funded primary,392,23,12,75,0,1,0,0,0,5,508,521
Mercenfeld Primary School,Leicestershire,855,2069,139441,East Midlands,Academy Converter,State-funded primary,985,58,0,107,0,4,2,0,0,36,1192,1222
Thornton Primary School,Leicestershire,855,2009,140253,East Midlands,Academy Converter,State-funded primary,379,40,20,267,0,0,0,0,0,20,726,730
Red Hill Field Primary School,Leicestershire,855,2358,139344,East Midlands,Academy Converter,State-funded primary,895,40,26,73,0,9,1,0,0,0,1044,1054
Ratby Primary School,Leicestershire,855,2085,139284,East Midlands,Academy Converter,State-funded primary,995,80,44,70,0,51,0,0,0,0,1240,1260
Cobden Primary School Children's Centre,Leicestershire,855,2374,139366,East Midlands,Academy Converter,State-funded primary,"1,338",181,45,76,0,5,149,0,0,0,1794,1820
Measham Church of England Primary School,Leicestershire,855,3060,139097,East Midlands,Academy Converter,State-funded primary,819,102,27,51,0,1,1,0,0,0,1001,1020
St Peter's Church of England Primary School,Leicestershire,855,3334,139098,East Midlands,Academy Converter,State-funded primary,591,32,32,212,0,40,3,0,0,71,981,1001
Barwell Church of England Junior School,Leicestershire,855,3009,138965,East Midlands,Academy Converter,State-funded primary,894,121,35,25,6,9,0,0,0,0,1090,1157
Broom Leys School,Leicestershire,855,2360,138891,East Midlands,Academy Converter,State-funded primary,"1,790",203,79,250,0,43,4,0,0,0,2369,2414
Rothley Church of England Primary School,Leicestershire,855,3074,139874,East Midlands,Academy Converter,State-funded primary,"1,087",69,50,100,0,14,0,0,0,17,1337,1394
Lady Jane Grey Primary School,Leicestershire,855,2376,138809,East Midlands,Academy Converter,State-funded primary,741,25,30,51,0,30,0,6,0,0,883,912
Robert Bakewell Primary School and Community Centre,Leicestershire,855,2192,140476,East Midlands,Academy Converter,State-funded primary,"1,030",113,37,67,0,16,0,0,0,0,1263,1277
Bottesford Church of England Primary School,Leicestershire,855,3014,138905,East Midlands,Academy Converter,State-funded primary,834,22,32,94,0,0,0,0,0,0,982,1021
Mountfields Lodge School,Leicestershire,855,2194,139034,East Midlands,Academy Converter,State-funded primary,"1,662",109,65,99,0,33,0,0,0,1,1969,2068
Ashby Hill Top Primary School,Leicestershire,855,2321,138804,East Midlands,Academy Converter,State-funded primary,936,73,39,62,0,7,0,0,0,0,1117,1133
Stonebow Primary School - Loughborough,Leicestershire,855,2382,139287,East Midlands,Academy Converter,State-funded primary,"1,057",139,44,17,0,26,0,0,0,0,1283,1332
Outwoods Edge Primary School,Leicestershire,855,2169,139038,East Midlands,Academy Converter,State-funded primary,"1,352",102,55,77,0,19,10,0,0,0,1615,1678
Rendell Primary School,Leicestershire,855,2062,138908,East Midlands,Academy Converter,State-funded primary,"1,253",126,0,72,0,4,0,0,0,0,1455,1476
Holywell Primary School - Loughborough,Leicestershire,855,2331,138906,East Midlands,Academy Converter,State-funded primary,"1,336",38,0,164,0,15,3,0,0,0,1556,1631
Church Hill Infant School,Leicestershire,855,2110,138929,East Midlands,Academy Converter,State-funded primary,910,52,34,118,0,0,1,0,0,1,1116,1128
Pochin School The,Leicestershire,855,3006,138838,East Midlands,Academy Converter,State-funded primary,381,10,18,199,0,7,3,0,28,0,646,652
Church Hill Church of England Junior School,Leicestershire,855,3094,138930,East Midlands,Academy Converter,State-funded primary,908,89,37,23,0,9,0,0,0,0,1066,1080
Thrussington Church of England Primary School,Leicestershire,855,3093,138926,East Midlands,Academy Converter,State-funded primary,301,4,8,37,3,5,0,0,0,0,358,380
Merton Primary School The,Leicestershire,855,2161,138818,East Midlands,Academy Converter,State-funded primary,"1,172",85,51,84,0,16,10,0,0,0,1418,1456
Gaddesby Primary School,Leicestershire,855,2037,138807,East Midlands,Academy Converter,State-funded primary,449,2,14,47,7,7,26,0,0,0,552,624
Eastfield Primary School - Leicester,Leicestershire,855,2157,138806,East Midlands,Academy Converter,State-funded primary,879,76,34,56,0,33,0,0,0,0,1078,1228
Cosby Primary School,Leicestershire,855,2029,138528,East Midlands,Academy Converter,State-funded primary,632,46,34,245,0,0,5,0,0,0,962,1031
Queniborough Church of England Primary School,Leicestershire,855,3069,138931,East Midlands,Academy Converter,State-funded primary,821,28,0,51,0,18,0,0,0,34,952,976
Broomfield Primary School,Leicestershire,855,2168,138805,East Midlands,Academy Converter,State-funded primary,752,35,31,60,0,0,0,0,0,1,879,888
Ridgeway Primary Academy - Market Harborough,Leicestershire,855,2179,138347,East Midlands,Academy Converter,State-funded primary,938,28,0,56,0,9,0,0,0,130,1161,1173
Farndon Fields Primary School,Leicestershire,855,2176,138345,East Midlands,Academy Converter,State-funded primary,542,54,27,193,0,14,3,0,0,30,863,888
Huncote Community Primary School,Leicestershire,855,2173,138321,East Midlands,Academy Converter,State-funded primary,583,33,22,51,0,4,0,0,0,16,709,738
Meadowdale Primary School,Leicestershire,855,2002,138346,East Midlands,Academy Converter,State-funded primary,984,24,51,253,0,34,0,0,0,111,1457,1516
Great Bowden Church of England Primary School,Leicestershire,855,3059,138359,East Midlands,Academy Converter,State-funded primary,533,12,0,30,0,0,8,0,0,45,628,633
Stafford Leys Community Primary School,Leicestershire,855,2146,138154,East Midlands,Academy Converter,State-funded primary,"1,844",80,78,113,0,30,14,0,0,86,2245,2282
Meadow Community Primary School The,Leicestershire,855,2190,138173,East Midlands,Academy Converter,State-funded primary,"1,134",105,43,91,0,35,11,0,36,10,1465,1626
Fairfield Primary School - Wigston,Leicestershire,855,2158,137933,East Midlands,Academy Converter,State-funded primary,647,55,28,166,0,0,0,0,0,75,971,977
Glen Hills Primary School,Leicestershire,855,2322,137932,East Midlands,Academy Converter,State-funded primary,"1,591",0,71,496,0,-16,0,0,0,72,2214,2214
Loughborough Church of England Primary School,Leicestershire,855,3434,120233,East Midlands,Academy Converter,State-funded primary,965,89,38,121,0,5,0,0,0,12,1230,1257
Market Harborough Church of England Primary School,Leicestershire,855,3058,120144,East Midlands,Academy Converter,State-funded primary,"1,342",102,56,56,0,29,10,0,0,40,1635,1648
Kirkby-la-Thorpe Church of England Primary School The,Lincolnshire,925,3036,140445,East Midlands,Academy Converter,State-funded primary,331,13,17,165,0,15,0,0,0,28,569,570
Lincoln Manor Leas Junior School The,Lincolnshire,925,2136,139470,East Midlands,Academy Converter,State-funded primary,"1,098",111,44,17,0,65,0,10,0,68,1413,1418
Huntingtower Community Primary School,Lincolnshire,925,2020,139618,East Midlands,Academy Converter,State-funded primary,"1,202",186,51,165,0,56,30,0,0,0,1690,1751
Bracebridge Infant and Nursery School,Lincolnshire,925,2122,139142,East Midlands,Academy Converter,State-funded primary,448,33,15,52,0,7,128,0,0,0,683,711
Huttoft Primary School,Lincolnshire,925,5209,138808,East Midlands,Academy Converter,State-funded primary,523,56,23,166,0,78,0,0,0,152,998,1001
Little Gonerby Church of England Infant School The,Lincolnshire,925,3311,138816,East Midlands,Academy Converter,State-funded primary,713,46,0,72,0,0,3,0,0,26,860,866
Nettleham Infant School The,Lincolnshire,925,5223,138639,East Midlands,Academy Converter,State-funded primary,685,28,0,110,0,41,0,40,0,0,904,925
Ellison Boulters Church of England Primary School,Lincolnshire,925,3166,138753,East Midlands,Academy Converter,State-funded primary,752,15,40,275,71,56,0,0,0,74,1283,1381
Welton St Mary's Church of England Primary School,Lincolnshire,925,3158,139187,East Midlands,Academy Converter,State-funded primary,"1,031",53,52,234,0,67,0,0,0,4,1441,1511
Gainsborough Parish Church Primary School The,Lincolnshire,925,3354,138640,East Midlands,Academy Converter,State-funded primary,979,154,43,187,0,12,5,0,0,86,1466,1467
North Hykeham Ling Moor Primary School,Lincolnshire,925,2064,138748,East Midlands,Academy Converter,State-funded primary,879,41,45,283,0,26,4,0,0,53,1331,1360
Branston Junior Academy,Lincolnshire,925,2074,138486,East Midlands,Academy Converter,State-funded primary,581,49,21,14,0,67,0,0,0,0,732,775
Manor Leas Infants School,Lincolnshire,925,2137,138149,East Midlands,Academy Converter,State-funded primary,686,31,25,79,0,16,6,0,0,19,862,862
Rauceby Church of England Primary School,Lincolnshire,925,5202,138284,East Midlands,Academy Converter,State-funded primary,655,17,0,76,0,0,8,0,0,0,756,841
Hillcrest Early Years Academy,Lincolnshire,925,2208,138330,East Midlands,Academy Converter,State-funded primary,589,112,27,213,0,1,139,0,0,23,1104,1105
Louth Kidgate Primary School,Lincolnshire,925,2171,138637,East Midlands,Academy Converter,State-funded primary,"1,196",140,56,305,0,35,0,0,0,65,1797,1798
St Andrew's CofE Primary School,Lincolnshire,925,5208,138487,East Midlands,Academy Converter,State-funded primary,"1,004",67,38,68,0,27,0,0,0,12,1216,1268
Witham St Hughs Primary School,Lincolnshire,925,3506,137978,East Midlands,Academy Converter,State-funded primary,839,31,34,327,0,4,76,0,0,0,1311,1369
Ruskington Chestnut Street Church of England Academy,Lincolnshire,925,5226,138324,East Midlands,Academy Converter,State-funded primary,816,77,40,224,0,100,73,0,0,100,1430,1432
Long Bennington Church of England Primary School,Lincolnshire,925,3040,138057,East Midlands,Academy Converter,State-funded primary,734,21,38,233,0,1,0,0,0,0,1027,1037
St John's Primary Academy - Bracebridge Heath,Lincolnshire,925,2009,137794,East Midlands,Academy Converter,State-funded primary,"1,328",64,58,79,0,11,10,0,0,0,1550,1590
Malcolm Sargent Primary School The,Lincolnshire,925,5205,137680,East Midlands,Academy Converter,State-funded primary,"1,595",83,74,100,0,46,3,0,0,75,1976,2437
Bourne Westfield Primary Academy,Lincolnshire,925,2072,137599,East Midlands,Academy Converter,State-funded primary,"1,966",102,88,112,0,48,0,0,0,59,2375,2501
William Alvey School,Lincolnshire,925,5203,137565,East Midlands,Academy Converter,State-funded primary,"1,897",136,0,95,0,72,0,0,0,84,2284,2285
Westgate Junior School,Lincolnshire,925,5224,137451,East Midlands,Academy Converter,State-funded primary,"1,459",146,0,10,0,32,30,0,0,58,1735,1760
Heighington Millfield Primary Academy,Lincolnshire,925,2075,137201,East Midlands,Academy Converter,State-funded primary,934,36,35,137,0,2,1,0,0,0,1145,1219
Tower Road Primary,Lincolnshire,925,5221,136793,East Midlands,Academy Converter,State-funded primary,"2,039",57,0,69,0,59,0,0,0,73,2297,2338
Stamford St Gilberts Church of England Primary School,Lincolnshire,925,3077,139178,East Midlands,Academy Converter,State-funded primary,"1,138",59,0,69,0,30,1,0,0,36,1333,1408
Weston Favell CofE VA Primary School,Northamptonshire,928,3091,138956,East Midlands,Academy Converter,State-funded primary,"1,299",84,55,83,0,41,73,0,0,13,1648,1799
St Mary's Church of England Voluntary Aided Primary School - Kettering,Northamptonshire,928,3322,139460,East Midlands,Academy Converter,State-funded primary,985,115,36,36,0,0,16,0,19,29,1236,1284
Freemans Endowed Church of England Junior School,Northamptonshire,928,3073,139461,East Midlands,Academy Converter,State-funded primary,815,70,33,12,0,23,0,0,0,0,953,1023
St Mary's Church of England Primary School - Burton Latimer,Northamptonshire,928,3204,139463,East Midlands,Academy Converter,State-funded primary,829,70,29,48,0,8,45,30,0,0,1059,1096
Preston Hedges Primary School,Northamptonshire,928,2223,139039,East Midlands,Academy Converter,State-funded primary,"1,145",20,58,241,0,0,58,0,0,0,1522,1667
Southfield Primary School,Northamptonshire,928,2150,139030,East Midlands,Academy Converter,State-funded primary,883,42,36,78,0,82,68,0,0,34,1223,1334
Wootton Primary School,Northamptonshire,928,2106,138822,East Midlands,Academy Converter,State-funded primary,"1,314",50,115,18,67,23,0,0,0,0,1587,1643
Boughton Primary School,Northamptonshire,928,2003,138760,East Midlands,Academy Converter,State-funded primary,541,8,20,39,0,0,0,0,0,0,608,634
Woodland View Primary School,Northamptonshire,928,2228,137918,East Midlands,Academy Converter,State-funded primary,"1,351",27,62,82,0,9,32,0,0,65,1628,1658
Waynflete Infants' School,Northamptonshire,928,2117,138056,East Midlands,Academy Converter,State-funded primary,587,14,22,65,0,1,0,0,0,0,689,714
Hartwell Primary School,Northamptonshire,928,3035,136542,East Midlands,Academy Converter,State-funded primary,562,29,27,183,0,0,18,0,0,0,819,853
Nicholas Hawksmoor Primary School,Northamptonshire,928,2214,136480,East Midlands,Academy Converter,State-funded primary,"1,235",29,66,253,0,44,160,0,0,49,1836,1974
Ambleside Primary School,Nottingham,892,2002,138800,East Midlands,Academy Sponsor Led,State-funded primary,"2,644",452,88,140,0,0,327,0,0,0,3651,3791
Milford Primary School,Nottingham,892,2906,138741,East Midlands,Academy Converter,State-funded primary,"1,368",200,43,95,0,0,339,0,0,0,2045,2144
Old Basford Primary and Nursery School,Nottingham,892,2152,138740,East Midlands,Academy Converter,State-funded primary,"1,546",157,62,347,0,34,119,0,0,0,2265,2312
Whitemoor Primary and Nursery School,Nottingham,892,2118,138663,East Midlands,Academy Converter,State-funded primary,"1,701",253,52,146,53,38,178,0,0,29,2450,2490
St,Nottingham,892,2003,138508,East Midlands,Academy Sponsor Led,State-funded primary,"1,358",142,43,294,0,50,0,0,0,0,1887,1916
North Leverton CofE Primary School,Nottinghamshire,891,3118,137986,East Midlands,Academy Converter,State-funded primary,442,38,8,37,0,0,9,0,0,8,542,564
Norbridge Primary School,Nottinghamshire,891,2634,137362,East Midlands,Academy Converter,State-funded primary,"1,011",142,0,74,0,34,166,0,0,0,1427,1513
Barnby Road Academy Primary and Nursery School,Nottinghamshire,891,2921,136274,East Midlands,Academy Converter,State-funded primary,"1,246",89,62,233,0,12,166,0,0,0,1808,1862
Langham CofE (Controlled) Primary School,Rutland,857,3114,139858,East Midlands,Academy Converter,State-funded primary,628,31,30,159,0,27,59,0,0,0,934,1078
Leighfield Primary School,Rutland,857,5200,139481,East Midlands,Academy Converter,State-funded primary,703,16,30,46,0,14,1,0,0,0,810,841
Brooke Hill Academy,Rutland,857,2316,137358,East Midlands,Academy Converter,State-funded primary,817,41,41,289,0,19,0,0,0,16,1223,1317
Ursula Taylor VC Lower School,Bedford,822,3004,139990,East of England,Academy Converter,State-funded primary,733,73,40,229,0,27,12,0,0,10,1124,1218
Hills Academy The,Bedford,822,2178,139522,East of England,Academy Converter,State-funded primary,792,54,45,221,0,31,86,0,0,23,1252,1358
Goldington Green Academy,Bedford,822,2008,139523,East of England,Academy Converter,State-funded primary,"1,308",202,60,316,0,88,88,0,0,32,2094,2148
Putnoe Primary School,Bedford,822,2147,139519,East of England,Academy Converter,State-funded primary,"1,579",334,69,232,0,60,118,0,0,12,2404,2533
Queen's Park Academy,Bedford,822,2014,136660,East of England,Academy Converter,State-funded primary,"1,828",148,63,191,0,12,398,0,0,0,2640,2868
All Saints Interchurch Academy - March,Cambridgeshire,873,3383,139537,East of England,Academy Converter,State-funded primary,801,62,0,55,0,13,166,0,0,43,1140,1155
Godmanchester Primary School,Cambridgeshire,873,2209,138029,East of England,Academy Converter,State-funded primary,"1,239",59,58,85,0,34,0,0,0,23,1498,1509
Buckden CofE Primary School,Cambridgeshire,873,3063,137639,East of England,Academy Converter,State-funded primary,640,38,35,238,0,19,0,0,0,112,1082,1086
Bourn CofE Primary Academy,Cambridgeshire,873,3002,137626,East of England,Academy Converter,State-funded primary,720,17,0,54,0,38,0,0,0,57,886,899
Alderman Jacobs Primary School,Cambridgeshire,873,2087,136653,East of England,Academy Converter,State-funded primary,"1,829",200,0,90,0,85,2,0,0,78,2284,2297
Crosshall Junior School,Cambridgeshire,873,5204,136339,East of England,Academy Converter,State-funded primary,"1,388",131,66,33,0,67,0,0,0,0,1685,1812
Crosshall Infant School,Cambridgeshire,873,5203,136332,East of England,Academy Converter,State-funded primary,"1,117",51,57,160,0,79,179,0,0,4,1647,1870
Cromwell Academy,Cambridgeshire,873,2451,132071,East of England,Academy Converter,State-funded primary,808,51,0,68,0,76,46,0,0,144,1193,1202
Toddington St George Lower School,Central Bedfordshire,823,3016,139372,East of England,Academy Converter,State-funded primary,999,53,43,80,0,55,234,0,0,28,1492,1558
Meppershall CofE VA Lower School,Central Bedfordshire,823,3320,139865,East of England,Academy Converter,State-funded primary,243,19,11,146,0,34,0,0,0,0,453,459
Beecroft Lower School,Central Bedfordshire,823,2040,140276,East of England,Academy Converter,State-funded primary,843,147,35,176,0,11,231,0,0,44,1487,1500
Clifton All Saints Academy - Shefford,Central Bedfordshire,823,3306,140228,East of England,Academy Converter,State-funded primary,532,18,20,36,0,0,9,0,0,0,615,640
Raynsford VC Lower School,Central Bedfordshire,823,3008,139473,East of England,Academy Converter,State-funded primary,524,17,20,51,0,25,8,0,0,0,645,676
Ardley Hill Academy,Central Bedfordshire,823,2192,138209,East of England,Academy Converter,State-funded primary,957,89,42,190,0,27,155,0,0,142,1602,1648
St Mary's CE Academy - Stotfold,Central Bedfordshire,823,3014,138022,East of England,Academy Converter,State-funded primary,803,26,0,55,50,7,0,0,0,189,1130,1243
Firs Lower School The,Central Bedfordshire,823,2195,137756,East of England,Academy Converter,State-funded primary,831,21,39,193,0,30,3,0,0,21,1138,1215
Cranfield VC Lower School,Central Bedfordshire,823,3005,137853,East of England,Academy Converter,State-funded primary,814,52,39,175,0,38,32,0,0,42,1192,1207
St Christophers Lower School,Central Bedfordshire,823,2149,138021,East of England,Academy Converter,State-funded primary,693,36,33,247,0,39,0,0,0,0,1048,1189
Hadrian Academy,Central Bedfordshire,823,2168,137778,East of England,Academy Converter,State-funded primary,"1,078",82,38,68,0,23,2,0,0,3,1294,1419
Eversholt Lower School,Central Bedfordshire,823,2046,137555,East of England,Academy Converter,State-funded primary,324,0,11,38,0,0,13,0,0,12,398,404
Eaton Bray Academy - Dunstable,Central Bedfordshire,823,2042,136539,East of England,Academy Converter,State-funded primary,502,28,23,186,0,7,101,0,0,0,847,977
Lark Rise Lower School,Central Bedfordshire,823,2217,136345,East of England,Academy Converter,State-funded primary,791,21,40,194,66,15,166,0,0,8,1301,1384
Highwoods Community Primary School,Essex,881,2424,139462,East of England,Academy Converter,State-funded primary,"1,604",145,0,84,0,10,4,0,0,0,1847,1937
Rayleigh Primary School Academy Trust The,Essex,881,2999,139543,East of England,Academy Converter,State-funded primary,"1,413",61,63,23,56,33,158,0,0,6,1813,1924
Kelvedon St Mary's Church of England Primary School,Essex,881,3211,139360,East of England,Academy Converter,State-funded primary,"1,211",53,56,179,0,30,10,0,0,106,1645,1686
St Teresa's Catholic Primary School - Colchester,Essex,881,3321,138311,East of England,Academy Converter,State-funded primary,761,22,30,48,0,14,12,0,0,0,887,1007
Newlands Spring Primary School - Chelmsford,Essex,881,5201,138533,East of England,Academy Converter,State-funded primary,"1,207",85,57,221,0,49,73,0,0,29,1721,1916
Moulsham Junior School,Essex,881,2180,137971,East of England,Academy Converter,State-funded primary,"1,850",121,0,19,0,133,8,0,0,0,2131,3612
Our Lady Immaculate Catholic Primary School,Essex,881,5250,138105,East of England,Academy Converter,State-funded primary,759,13,30,52,0,26,16,0,0,0,896,1067
Hutton All Saints' Church of England Primary School,Essex,881,5218,137698,East of England,Academy Converter,State-funded primary,680,35,32,232,0,44,0,0,0,0,1023,1085
Tyrrells School The,Essex,881,2850,137607,East of England,Academy Converter,State-funded primary,"1,343",40,59,91,0,52,74,0,0,0,1659,1730
Kents Hill Junior School,Essex,881,2811,137631,East of England,Academy Converter,State-funded primary,"1,018",62,51,162,0,27,0,0,0,0,1320,1390
Stisted Church of England Voluntary Aided Primary School,Essex,881,3460,137544,East of England,Academy Converter,State-funded primary,485,12,14,30,0,86,1,0,0,12,640,651
Great Chesterford Church of England Primary Academy,Essex,881,3710,137516,East of England,Academy Converter,State-funded primary,735,18,29,39,0,4,15,0,0,0,840,927
Kents Hill Infant School,Essex,881,2971,137395,East of England,Academy Converter,State-funded primary,894,48,37,109,0,5,6,0,0,21,1120,1129
Hadleigh Junior School,Essex,881,5251,137485,East of England,Academy Converter,State-funded primary,"1,049",65,42,16,0,13,0,0,0,19,1204,1260
St Thomas More Catholic Primary School - Saffron Walden,Essex,881,5223,137081,East of England,Academy Converter,State-funded primary,757,9,29,48,0,16,0,0,0,3,862,1002
Jotmans Hall Primary School,Essex,881,5211,137247,East of England,Academy Converter,State-funded primary,996,69,39,64,0,30,0,0,68,0,1266,1380
Robert Drake Primary School The,Essex,881,5243,137246,East of England,Academy Converter,State-funded primary,900,47,44,234,0,15,0,0,0,0,1240,1299
Hilltop Junior School - Wickford,Essex,881,2891,137245,East of England,Academy Converter,State-funded primary,995,71,41,9,0,11,0,0,0,0,1127,1189
Great Berry Primary School,Essex,881,2598,137226,East of England,Academy Converter,State-funded primary,"1,477",53,0,70,0,66,47,0,0,0,1713,1794
Runwell Community Primary School,Essex,881,2901,137054,East of England,Academy Converter,State-funded primary,816,71,0,52,0,50,10,0,0,0,999,1075
South Benfleet Foundation Primary School,Essex,881,5222,137029,East of England,Academy Converter,State-funded primary,"1,398",86,58,66,0,12,4,0,0,0,1624,1724
Hadleigh Infant and Nursery School,Essex,881,5254,137027,East of England,Academy Converter,State-funded primary,820,40,0,234,0,14,0,0,0,13,1121,1167
St Helen's Catholic Junior School,Essex,881,5253,136977,East of England,Academy Converter,State-funded primary,"1,199",34,51,15,0,25,8,0,0,0,1332,1613
Holy Cross Catholic Primary School - Harlow,Essex,881,5278,136967,East of England,Academy Converter,State-funded primary,899,44,32,76,0,26,172,0,0,2,1251,1479
Moulsham Infant School,Essex,881,2200,136855,East of England,Academy Converter,State-funded primary,939,33,38,115,0,25,0,0,0,0,1150,1220
Buttsbury Junior School The,Essex,881,5238,136734,East of England,Academy Converter,State-funded primary,"1,652",39,70,20,0,28,3,0,0,0,1812,1931
Flitch Green Academy,Essex,881,3832,136441,East of England,Academy Converter,State-funded primary,837,17,0,59,0,19,28,0,0,0,960,1073
RA Butler Infant School The,Essex,881,5263,136325,East of England,Academy Converter,State-funded primary,726,18,31,159,0,36,2,0,0,14,986,996
RA Butler Junior School The,Essex,881,5264,136328,East of England,Academy Converter,State-funded primary,825,30,40,178,0,82,0,0,0,123,1278,1303
Pear Tree Mead Primary and Nursery School,Essex,881,2785,114994,East of England,Academy Converter,State-funded primary,"1,284",87,0,36,0,20,124,0,0,0,1551,1592
St Marys Church of England Voluntary Aided Primary School - Shenfield,Essex,881,3452,139763,East of England,Academy Converter,State-funded primary,"1,254",19,55,83,0,52,3,0,0,10,1476,1554
Countess Anne Church of England School - Hatfield,Hertfordshire,919,3406,140238,East of England,Academy Converter,State-funded primary,665,90,29,197,0,2,0,0,0,4,987,1039
Flamstead End Primary and Nursery School,Hertfordshire,919,2001,139545,East of England,Academy Converter,State-funded primary,"1,286",138,64,360,0,0,372,0,0,0,2220,2362
Christ Church Church of England School - Rickmansworth,Hertfordshire,919,5201,139507,East of England,Academy Converter,State-funded primary,566,13,32,225,0,75,0,0,0,93,1004,1059
Alban City Free School,Hertfordshire,919,2028,138231,East of England,Free Schools,State-funded primary,675,19,25,174,0,0,263,0,0,0,1156,1205
Hatfield Community Free School,Hertfordshire,919,2004,138201,East of England,Free Schools,State-funded primary,566,38,25,358,0,7,0,0,0,116,1110,1208
Harpenden Free School,Hertfordshire,919,2018,138561,East of England,Free Schools,State-funded primary,471,11,26,584,0,0,10,0,0,64,1166,1167
Wroxham School The,Hertfordshire,919,5206,138215,East of England,Academy Converter,State-funded primary,595,24,32,231,120,25,114,0,0,0,1141,1468
Applecroft School,Hertfordshire,919,2454,137943,East of England,Academy Converter,State-funded primary,"1,361",51,59,89,0,10,255,0,0,0,1825,1967
Summercroft Primary School - Bishop's Stortford,Hertfordshire,919,3986,137351,East of England,Academy Converter,State-funded primary,"1,393",64,61,203,0,24,0,0,0,0,1745,1870
River Bank Primary School,Luton,821,2008,139782,East of England,Free Schools,State-funded primary,503,18,26,269,0,0,0,0,0,0,816,834
Ferrars Infant School,Luton,821,2230,139612,East of England,Academy Converter,State-funded primary,"1,142",81,42,119,0,11,160,0,0,19,1574,1625
Whipperley Infant School,Luton,821,2251,139219,East of England,Academy Converter,State-funded primary,"1,343",134,37,96,0,21,29,0,0,16,1676,1716
Chantry Primary School - Luton,Luton,821,2003,138469,East of England,Academy Converter,State-funded primary,"2,532",315,0,6,40,66,742,0,58,42,3801,3893
Arden Grove Infant and Nursery School,Norfolk,926,2289,139736,East of England,Academy Converter,State-funded primary,519,28,93,59,0,4,140,0,0,2,845,873
Free School Norwich The,Norfolk,926,2020,136821,East of England,Free Schools,State-funded primary,643,54,22,155,0,5,0,0,0,63,942,959
St Mary's Church of England Junior School - Norwich,Norfolk,926,3053,137311,East of England,Academy Converter,State-funded primary,664,111,0,109,0,36,0,0,0,2,922,988
Martham Foundation Primary School and Nursery,Norfolk,926,2006,136356,East of England,Academy Converter,State-funded primary,954,97,46,243,0,22,105,18,10,0,1495,1565
Fulbridge Primary School,Peterborough,874,3384,139370,East of England,Academy Converter,State-funded primary,"3,012",295,96,103,0,30,400,0,0,78,4014,4023
William Law CE Primary School,Peterborough,874,3382,110858,East of England,Academy Converter,State-funded primary,"2,782",194,0,85,0,24,177,0,31,273,3566,3594
Westborough Academy The,Southend-on-Sea,882,5206,136314,East of England,Academy Converter,State-funded primary,"2,129",231,78,67,0,50,230,0,0,0,2785,2816
Darlinghurst School,Southend-on-Sea,882,2127,140536,East of England,Academy Converter,State-funded primary,"2,011",262,79,225,0,339,42,0,0,0,2958,3089
St Louis Roman Catholic Primary School,Suffolk,935,3318,139448,East of England,Academy Converter,State-funded primary,990,62,44,57,0,4,88,0,0,0,1245,1362
Kedington Primary School,Suffolk,935,2054,139485,East of England,Academy Converter,State-funded primary,694,16,29,48,0,12,0,0,0,0,799,835
Elveden Church of England Voluntary Aided Primary School,Suffolk,935,3312,139149,East of England,Academy Converter,State-funded primary,387,24,12,25,0,3,0,0,0,0,451,461
St Mary's Church of England Voluntary Aided Primary School - Bury St Edmunds,Suffolk,935,3314,137419,East of England,Academy Converter,State-funded primary,"1,230",119,59,352,0,0,36,0,0,12,1808,1878
Shaw Primary School,Thurrock,883,2985,139166,East of England,Academy Converter,State-funded primary,"1,477",241,56,266,0,30,149,0,0,0,2219,2278
Belmont Castle Academy,Thurrock,883,2542,139105,East of England,Academy Converter,State-funded primary,"2,644",241,97,126,0,59,115,0,0,0,3282,3343
Graham James Primary School,Thurrock,883,2137,139613,East of England,Academy Converter,State-funded primary,"1,019",84,0,19,0,0,109,0,0,0,1231,1343
Abbots Hall Primary School,Thurrock,883,3822,139605,East of England,Academy Converter,State-funded primary,942,77,0,14,0,0,29,0,0,0,1062,1120
West Thurrock Primary School,Thurrock,883,2592,139991,East of England,Academy Converter,State-funded primary,"1,880",189,71,90,0,7,157,0,0,0,2394,2433
Woodside Primary School - Essex,Thurrock,883,2472,139106,East of England,Academy Converter,State-funded primary,"1,767",138,66,64,0,22,189,0,0,0,2246,2364
