School Name,LA Name,LA,Estab,URN,Region,Type of School,Phase,Pre-16 School Budget Share,Pupil Premium,Education Services Grant,Other,Other DfE grants (Revenue),SEN,Other income (LA & other Government grants),Government source (non-grant),Academies,Non- Government,Total Grant Funding  £000,Total Income  £000
Forest Academy - Brandon,Suffolk,935,2003,136316,East of England,Academy Converter,State-funded primary,871,108,47,163,0,11,124,0,0,0,1324,1373
Fosse Way Academy - Lincoln,Lincolnshire,925,2057,136790,East Midlands,Academy Converter,State-funded primary,"1,725",91,78,102,0,65,135,0,0,29,2225,2234
Hursthead Junior School,Stockport,356,2047,106053,North West,Academy Converter,State-funded primary,"1,432",47,64,42,0,24,0,0,0,5,1614,1669
Messing Primary School,Essex,881,2032,139252,East of England,Academy Sponsor Led,State-funded primary,211,13,7,215,0,15,0,0,0,0,461,479
Northgate Primary School,Hertfordshire,919,2009,138539,East of England,Academy Converter,State-funded primary,"1,314",33,61,80,0,3,116,0,0,0,1607,1690
Peaslake Free School,Surrey,936,6572,140203,South East,Free Schools,State-funded primary,82,0,4,158,8,0,0,0,0,0,252,284
Peatmoor Community Primary School,Swindon,866,2001,140289,South West,Academy Converter,State-funded primary,555,41,27,160,0,5,0,0,0,25,813,874
Tidemill Primary School,Lewisham,209,2599,137441,London,Academy Converter,State-funded primary,"2,608",281,61,329,0,198,10,0,0,0,3487,3597
Sharnbrook John Gibbard Lower School,Bedford,822,2120,139510,East of England,Academy Converter,State-funded primary,526,12,23,53,0,27,53,0,0,2,696,792
St Augustine's Academy - Dunstable,Central Bedfordshire,823,2285,138558,East of England,Academy Converter,State-funded primary,396,86,15,259,0,4,0,0,0,0,760,766
St James Church of England Voluntary Aided Primary School - Rochester,Medway,887,2002,138974,South East,Academy Sponsor Led,State-funded primary,651,63,21,14,0,0,81,0,0,0,830,910
West Newcastle Academy,Newcastle upon Tyne,391,2019,139729,North East,Free Schools,State-funded primary,143,35,5,229,0,0,0,0,13,0,425,425
St Mewan Community Primary School,Cornwall,908,2437,137402,South West,Academy Converter,State-funded primary,578,21,24,34,0,0,40,0,0,39,736,739
Chilton Academy Primary School,Kent,886,2596,118530,South East,Academy Converter,State-funded primary,776,45,0,273,0,2,29,0,0,14,1139,1148
Washingborough Primary School,Lincolnshire,925,5212,137977,East Midlands,Academy Converter,State-funded primary,854,45,37,136,0,0,87,0,0,0,1159,1330
Delce Academy,Medway,887,2413,118432,South East,Academy Converter,State-funded primary,"1,410",171,52,204,0,0,107,0,0,0,1944,2051
Heartsease Primary School,Norfolk,926,3423,139491,East of England,Academy Converter,State-funded primary,"1,560",234,61,155,0,100,217,0,0,33,2360,2467
Dulwich Hamlet Junior School Educational Trust,Southwark,210,2169,136665,London,Academy Converter,State-funded primary,"1,524",52,50,480,0,109,94,0,0,240,2549,2711
Bursley Academy,Staffordshire,860,2242,138043,West Midlands,Academy Converter,State-funded primary,"1,089",61,45,72,0,0,77,0,0,47,1391,1411
Longsight Community Primary,Manchester,352,2023,139790,North West,Free Schools,State-funded primary,437,30,16,243,0,13,0,0,0,0,739,744
Academy of Trinity C of E Primary,Bath and North East Somerset,800,3447,136804,South West,Academy Converter,State-funded primary,579,78,26,508,0,28,49,0,0,54,1322,1342
Dodworth St John the Baptist CE Primary Academy,Barnsley,370,2145,140539,Yorkshire and the Humber,Academy Converter,State-funded primary,805,45,0,136,0,0,112,0,0,32,1130,1231
St John's and St Peter's Church of England Academy,Birmingham,330,2071,138883,West Midlands,Academy Sponsor Led,State-funded primary,"1,146",185,26,38,0,0,4,0,0,15,1414,1425
St Matthew's Church of England Primary School - Stockport,Stockport,356,2010,140417,North West,Academy Sponsor Led,State-funded primary,802,102,27,5,0,19,44,0,0,11,1010,1138
